TEAM_NAME,SEASON,W,L,W_PCT,PTS,REB,AST,TOV,STL,BLK,FG_PCT,FG3_PCT,FT_PCT,PLUS_MINUS,champion,label
Atlanta Hawks,1999-00,28,54,0.341,94.32926829268293,45.31707317073171,18.878048780487806,15.439024390243903,6.097560975609756,5.621951219512195,0.441,0.317,0.743,-441.0,0,Non-Champion
Boston Celtics,1999-00,35,47,0.427,99.34146341463415,43.02439024390244,21.23170731707317,15.353658536585366,9.695121951219512,3.4878048780487805,0.444,0.331,0.745,-62.0,0,Non-Champion
Charlotte Hornets,1999-00,49,33,0.598,98.4390243902439,42.91463414634146,24.670731707317074,14.707317073170731,8.926829268292684,5.853658536585366,0.449,0.339,0.758,219.0,0,Non-Champion
Chicago Bulls,1999-00,17,65,0.207,84.78048780487805,40.91463414634146,19.951219512195124,18.98780487804878,7.878048780487805,4.670731707317073,0.415,0.329,0.709,-771.0,0,Non-Champion
Cleveland Cavaliers,1999-00,32,50,0.39,96.95121951219512,42.792682926829265,23.670731707317074,17.402439024390244,8.71951219512195,4.426829268292683,0.442,0.373,0.75,-287.0,0,Non-Champion
Dallas Mavericks,1999-00,40,42,0.488,101.41463414634147,41.15853658536585,22.073170731707318,13.707317073170731,7.219512195121951,5.073170731707317,0.453,0.391,0.804,-47.0,0,Non-Champion
Denver Nuggets,1999-00,35,47,0.427,98.96341463414635,44.670731707317074,23.304878048780488,15.621951219512194,6.7560975609756095,7.536585365853658,0.442,0.336,0.724,-174.0,0,Non-Champion
Detroit Pistons,1999-00,42,40,0.512,103.45121951219512,41.15853658536585,20.817073170731707,15.707317073170731,8.109756097560975,3.3292682926829267,0.459,0.359,0.781,118.0,0,Non-Champion
Golden State Warriors,1999-00,19,63,0.232,95.53658536585365,45.58536585365854,22.573170731707318,15.878048780487806,8.914634146341463,4.341463414634147,0.42,0.323,0.697,-678.0,0,Non-Champion
Houston Rockets,1999-00,34,48,0.415,99.46341463414635,43.829268292682926,21.634146341463413,17.378048780487806,7.475609756097561,5.341463414634147,0.45,0.358,0.733,-71.0,0,Non-Champion
Indiana Pacers,1999-00,56,26,0.683,101.29268292682927,42.1219512195122,22.646341463414632,14.134146341463415,6.817073170731708,5.146341463414634,0.459,0.392,0.811,377.0,0,Non-Champion
Los Angeles Clippers,1999-00,15,67,0.183,92.02439024390245,40.63414634146341,18.036585365853657,16.158536585365855,7.048780487804878,6.024390243902439,0.426,0.339,0.746,-945.0,0,Non-Champion
Los Angeles Lakers,1999-00,67,15,0.817,100.8170731707317,47.01219512195122,23.426829268292682,13.939024390243903,7.475609756097561,6.512195121951219,0.459,0.329,0.696,701.0,1,Champion
Miami Heat,1999-00,52,30,0.634,94.3780487804878,43.170731707317074,23.548780487804876,15.012195121951219,7.097560975609756,6.390243902439025,0.46,0.371,0.736,255.0,0,Non-Champion
